PJY,YJS,YYJ
SYNGR1,CD44,CLEC16A
SIGLEC6,IKZF2,TCF7
GATA3,GALC,SYNGR1
LPP,LRRC16A,GRAP2
SLC26A1,PTPRC,SIGLEC6
BANK1,JAK2,CREBL2
ATG16L2,ZC2HC1A,PPP2CA
PXK,GATA3,TNIP1
IL12A,BACH2,RASGRP3
RASGRP1,ST8SIA4,BANK1
CIITA,TIMMDC1,DHCR7
TMEM86B,PAPOLG,P2RY2
IKZF1,TNFSF4,GRB2
CLEC16A,PTPN22,TMEM86B
ATG5,STAT4,SPRED2
CCL22,SLC15A4,ATXN2
PLAT,IRF8,MIR146A
IFNG,ARID5B,PLLP
FCRL4,IKZF3,TYK2
FAM86B3P,FAM98B,CDKN1B
GALC,TMEM39A,IL12B
PTPRC,UBE2L3,CXorf21
MYNN,CD4,IL21
ZC2HC1A,SYNGR1,IRF8
CREBL2,SIGLEC6,DGKQ
EDEM3,SH2B3,SLC26A1
TNFSF4,IL2RA,CXCR5
CXorf21,RORC,IL12A
COG6,DGKQ,FAM86B3P
DRAM1,TNIP1,GPR19
STAT4,CXCR5,HLA-DRB1
CD226,P2RY2,CD44
RASGRP3,CD163,GALC
PTTG1,TREX1,CSK
RAD51B,LYN,ZC2HC1A
UBE2L3,CLEC16A,PDHX
ZPBP2,IL10,ELF1
NAME,SLC26A1,IRF5
IKZF2,RASGRP3,COG6
GTF2I,JAZF1,FCGR2A
LRRC16A,IL12A,PTTG1
GRAP2,FOXP3,ITGAM
TYK2,TBX21,RNASEH2C
BACH2,ICAM1,ZFP90
TIMMDC1,BCL6,PDCD1
CD80,TNFAIP3,PTPRC
PLD2,ELF1,IL12RB2
ETS1,PLD2,JAK2
IRF8,ETS1,BACH2
IKZF3,FCGR2A,NCF2
GPR19,IKBKE,DRAM1
IRAK1,PXK,IL10
IRF7,ITGAM,FAM98B
DNASE1,RASGRP1,IRF7
,GRB2,IKZF2
,IKZF1,GTF2I
,TET3,GATA3
,PDCD1,IFIH1
,LBH,EDEM3
,TYK2,CD80
,PDHX,WDFY4
,IRF5,ARID5B
,WDFY4,PKIA
,BLK,RASGRP1
,BANK1,CIITA
,FAM86B3P,RAD51B
,TMEM86B,IKZF1
,IRAK1,TET3
,IRF7,CD4
,PCNXL3,TBX21
,MIR146A,LRRC16A
,,ICAM1
,,SH2B3
,,TIMMDC1
,,IL2RA
,,ETS1
,,STAT4
,,IKBKE
,,IKZF3
,,CD14
,,MRC1L1
,,IRAK1
,,UBE2L3
,,PCNXL3
,,LBH
,,TREX1
,,DNASE1
